,Datetime,Open,High,Low,Close,Volume
305,2024-07-30 11:00:00,228.41,228.59,226.24,226.71,7098685
306,2024-07-30 10:30:00,231.1,231.89,228.053,228.413,8034806
307,2024-07-30 10:00:00,228.57,231.49,226.9,231.06,10489437
308,2024-07-30 09:30:00,232.25,232.41,227.6,228.505,14923754
309,2024-07-30 09:00:00,233.63,234.19,222.98,232.07,371763
310,2024-07-30 08:30:00,233.8,234.44,232.75,233.59,243074
311,2024-07-30 08:00:00,232.65,235.9,229.839,233.74,570890
312,2024-07-30 07:30:00,233.25,235.0,233.01,234.18,191716
313,2024-07-30 07:00:00,232.76,233.9,232.23,233.22,158521
314,2024-07-30 06:30:00,231.9,232.76,231.78,232.76,49630
315,2024-07-30 06:00:00,232.26,233.17,231.0,231.98,135711
316,2024-07-30 05:30:00,233.14,234.2,229.83,232.26,245445
317,2024-07-30 05:00:00,235.47,235.99,233.0,233.0,140854
318,2024-07-30 04:30:00,234.85,235.79,234.85,235.45,105906
319,2024-07-30 04:00:00,234.2,235.04,233.52,234.82,184395
320,2024-07-29 19:30:00,232.645,232.8,232.2,232.34,113095
321,2024-07-29 19:00:00,233.14,233.3,232.6,232.6,90471
322,2024-07-29 18:30:00,232.9,233.16,232.1,233.15,102565
323,2024-07-29 18:00:00,232.55,233.24,232.125,232.81,103229
324,2024-07-29 17:30:00,232.56,232.73,232.1,232.62,79896
325,2024-07-29 17:00:00,232.43,248.954,216.595,232.55,81194
326,2024-07-29 16:30:00,232.35,232.71,221.19,232.425,188558
327,2024-07-29 16:00:00,232.13,232.69,232.1,232.34,8225894
328,2024-07-29 15:30:00,230.49,232.69,230.31,232.125,7881942
329,2024-07-29 15:00:00,231.691,231.84,229.21,230.5,5901028
330,2024-07-29 14:30:00,231.36,231.88,230.81,231.69,4558253
331,2024-07-29 14:00:00,232.38,232.68,231.17,231.38,5021998
332,2024-07-29 13:30:00,231.15,232.96,230.8,232.341,6253315
333,2024-07-29 13:00:00,232.9,234.0,231.14,231.175,8976108
334,2024-07-29 12:30:00,230.945,232.99,230.85,232.888,6991187
335,2024-07-29 12:00:00,230.018,231.37,229.46,230.944,6846192
336,2024-07-29 11:30:00,229.31,230.43,227.09,229.99,9378417
337,2024-07-29 11:00:00,231.188,231.53,228.19,229.323,12382869
338,2024-07-29 10:30:00,232.473,234.27,231.16,231.21,13093900
339,2024-07-29 10:00:00,230.875,233.21,230.51,232.49,15664704
340,2024-07-29 09:30:00,224.9,231.08,224.7,230.888,18743457
341,2024-07-29 09:00:00,223.36,225.0,222.91,224.91,464963
342,2024-07-29 08:30:00,223.81,224.25,216.06,223.33,267283
343,2024-07-29 08:00:00,221.018,224.3,219.251,223.86,510144
344,2024-07-29 07:30:00,223.4,223.98,223.22,223.7,140031
345,2024-07-29 07:00:00,223.39,223.58,222.31,223.43,151175
346,2024-07-29 06:30:00,223.91,223.95,223.3,223.51,60539
347,2024-07-29 06:00:00,221.38,224.22,221.3,223.99,236475
348,2024-07-29 05:30:00,221.53,221.65,221.28,221.38,19412
349,2024-07-29 05:00:00,221.36,221.85,221.3,221.52,24277
350,2024-07-29 04:30:00,221.87,222.14,221.0,221.44,40780
